TELMEX/SISA Sistema de Búsqueda y Consultas 01/07/13 11:37:11| BELTRAN JESUS OMAR DSFS
Folio|Referencia Servicio|Desc. Articulo|Alcance|Ent. ACO|Cliente|F.Due Date|Fase|Edo|T.P.|F.Edo|F.de Liberación|Contrato|Criticidad|Tipo de Enl|Prioritario|
1389109|LD1-1305-0083|Lada Directo Gratuito|Local|ACOPTE|MUNICIPIO DE TLALNEPANTLA DE BAZ|08/07/13|ALT|ERP|ALT|14/06/13|31/05/13 15:36|TX-1305-4581||||
1389111|DID-1305-0510|Serv. De Acceso Directo A Ext.|Local|ACOPTE|MUNICIPIO DE TLALNEPANTLA DE BAZ|08/07/13|ALT|ERP|ALT|14/06/13|31/05/13 15:36|TX-1305-4581||Principal||
1389138|DID-1305-0511|Serv. De Acceso Directo A Ext.|Local|ACOPTE|APM TERMINALS LAZARO CARDENAS S.A. DE C.V.|03/07/13|ALT|PPC|CD2|26/06/13|29/05/13 12:56|TX-1210-2096-1||Principal||
1389276|A32-1305-0656|Ladaenlace 2m V35 Local|Local|ACOPTE|UNINET|28/06/13|ALT|PPC|ALT|24/06/13|29/05/13 15:22|TX-1305-4704|4 |Principal||
1389522|TKS-0801-0299|Troncales Digitales 64k|Local|ACOSUR|GOBIERNO DEL ESTADO DE MORELOS|04/07/13|ALT|ENC|CEQ|31/05/13|30/05/13 12:23|TX-0004-0587-6||Principal||
1389526|TKS-0710-0352|Troncales Digitales 64k|Local|ACOSUR|GOBIERNO DEL ESTADO DE MORELOS|04/07/13|ALT|ENC|CEQ|31/05/13|30/05/13 12:24|TX-0710-2754-3||Principal||
1389664|TKS-1305-0807|Troncales Digitales 64k|Local|ACOPTE|VIAJES INTERMEX|11/07/13|ALT|PPU|ALT|24/06/13|30/05/13 15:18|TX-1305-5002||Principal||
1389667|DID-1305-0554|Serv. De Acceso Directo A Ext.|Local|ACOPTE|VIAJES INTERMEX|11/07/13|ALT|PPU|ALT|24/06/13|30/05/13 15:18|TX-1305-5002||Principal||
1389753|D32-1305-0919|Ladaenlace 2M-G703 Local|Local|ACOPTE|UNINET|26/07/13|ALT|VAL|CD1|01/07/13|30/05/13 17:17|TX-0801-2790-4|4 |Principal||
1390129|LD1-1306-0001|Lada Directo Gratuito|Local|ACOPTE|EXTRUSIONES METALICAS|15/07/13|ALT|PPU|ALT|24/06/13|04/06/13 07:55|TX-1306-0001||||
